game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
2026_01_NE_SEA,2026,REG,1,2026-09-09,Wednesday,20:20,NE,,SEA,,Home,,,,2026090900,,,202609090sea,,,,7,7,164,-198,3.5,-110,-110,44.5,-110,-110,0,outdoors,fieldturf,,,,,,,Mike Vrabel,Mike Macdonald,,SEA00,Lumen Field
2026_01_SF_LA,2026,REG,1,2026-09-10,Thursday,20:35,SF,,LA,,Neutral,,,,2026091000,,,202609100ram,,,,7,7,150,-180,3,100,-120,48.5,-110,-110,1,dome,matrixturf,,,,,,,Kyle Shanahan,Sean McVay,,LAX01,Melbourne Cricket Ground
2026_01_CHI_CAR,2026,REG,1,2026-09-13,Sunday,13:00,CHI,,CAR,,Home,,,,2026091300,,,202609130car,,,,7,7,-135,114,-2.5,-110,-110,44.5,-110,-110,0,outdoors,grass,,,,,,,Ben Johnson,Dave Canales,,CAR00,Bank of America Stadium
2026_01_TB_CIN,2026,REG,1,2026-09-13,Sunday,13:00,TB,,CIN,,Home,,,,2026091301,,,202609130cin,,,,7,7,164,-198,3.5,-110,-110,50.5,-105,-115,0,outdoors,fieldturf,,,,,,,Todd Bowles,Zac Taylor,,CIN00,Paycor Stadium
2026_01_NO_DET,2026,REG,1,2026-09-13,Sunday,13:00,NO,,DET,,Home,,,,2026091302,,,202609130det,,,,7,7,270,-340,7,-110,-110,48.5,-105,-115,0,dome,fieldturf,,,,,,,Kellen Moore,Dan Campbell,,DET00,Ford Field
2026_01_BUF_HOU,2026,REG,1,2026-09-13,Sunday,13:00,BUF,,HOU,,Home,,,,2026091303,,,202609130htx,,,,7,7,-115,-105,-1.5,100,-120,45.5,-115,-105,0,"",astroturf,,,,,,,Sean McDermott,DeMeco Ryans,,HOU00,Reliant Stadium
2026_01_TBD_TBD,2026,REG,1,2026-09-14,Monday,,MIA,,NYJ,,Home,,,,2026091400,,,,,,,7,7,,,,,,,,,0,outdoors,grass,,,,,,,,,,,
2025_18_NO_ATL,2025,REG,18,2026-01-04,Sunday,13:00,NO,17,ATL,19,Home,2,36,0,2026010400,60099,,202601040atl,28689,401772966,6990,7,6,170,-205,4.5,-115,-105,43.5,-112,-108,1,closed,fieldturf,,,00-0040743,00-0029604,Tyler Shough,Kirk Cousins,Kellen Moore,Raheem Morris,Ron Torbert,ATL97,Mercedes-Benz Stadium
2025_18_NYJ_BUF,2025,REG,18,2026-01-04,Sunday,16:25,NYJ,8,BUF,35,Home,27,43,0,2026010401,60100,,202601040buf,28674,401772967,6991,7,7,550,-800,12.5,-112,-108,39.5,-115,-105,1,outdoors,a_turf,27,13,00-0040398,00-0033869,Brady Cook,Mitchell Trubisky,Aaron Glenn,Sean McDermott,Alan Eck,BUF00,New Era Field
2025_18_DET_CHI,2025,REG,18,2026-01-04,Sunday,16:25,DET,19,CHI,16,Home,-3,35,0,2026010402,60101,,202601040chi,28675,401772965,6992,10,7,150,-180,3.5,-110,-110,51.5,-115,-105,1,outdoors,grass,33,4,00-0033106,00-0039918,Jared Goff,Caleb Williams,Dan Campbell,Ben Johnson,Brad Rogers,CHI98,Soldier Field
2025_18_CLE_CIN,2025,REG,18,2026-01-04,Sunday,13:00,CLE,20,CIN,18,Home,-2,38,0,2026010403,60102,,202601040cin,28676,401772964,6993,7,7,350,-455,9.5,-112,-108,47.5,-118,-102,1,outdoors,fieldturf,37,0,00-0040668,00-0036442,Shedeur Sanders,Joe Burrow,Kevin Stefanski,Zac Taylor,Alex Kemp,CIN00,Paycor Stadium
2025_18_LAC_DEN,2025,REG,18,2026-01-04,Sunday,16:25,LAC,3,DEN,19,Home,16,22,0,2026010404,60103,,202601040den,28677,401772956,6994,8,10,900,-1600,14.5,-108,-112,37.5,-105,-115,1,outdoors,grass,66,8,00-0037012,00-0039732,Trey Lance,Bo Nix,Jim Harbaugh,Sean Payton,Clete Blakeman,DEN00,Empower Field at Mile High
2025_18_IND_HOU,2025,REG,18,2026-01-04,Sunday,13:00,IND,30,HOU,38,Home,8,68,0,2026010405,60104,,202601040htx,28678,401772962,6995,7,8,400,-535,9.5,-110,-110,37.5,-108,-112,1,closed,astroturf,,,00-0040206,00-0039163,Riley Leonard,C.J. Stroud,Shane Steichen,DeMeco Ryans,Land Clark,HOU00,NRG Stadium
